"K (K (K K))";"K (K (K K))";"(\u v.u) ((\u v.u) ((\u v.u) (\u v.u)))";"(\u v w x y.x)";"a -> b -> c -> d -> e -> d";"a -> b -> c -> d -> e -> d";"a -> b -> c -> d -> e -> d";"a -> b -> c -> d -> e -> d"
"K K K S";"K S";"(\u v.u) (\u v w.u w (v w))";"(\u v w x.v x (w x))";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d"
"K (K K) S";"K K";"(\u v.u) (\u v.u)";"(\u v w.v)";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b"
"K K (K S)";"K";"(\u v.u)";"(\u v.u)";"a -> b -> a";"a -> b -> a";"a -> b -> a";"a -> b -> a"
"K (K K S)";"K K";"(\u v.u) (\u v.u)";"(\u v w.v)";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b"
"K (K (K S))";"K (K (K S))";"(\u v.u) ((\u v.u) ((\u v.u) (\u v w.u w (v w))))";"(\u v w x y z.x z (y z))";"a -> b -> c -> (d -> e -> f) -> (d -> e) -> d -> f";"a -> b -> c -> (d -> e -> f) -> (d -> e) -> d -> f";"a -> b -> c -> (d -> e -> f) -> (d -> e) -> d -> f";"a -> b -> c -> (d -> e -> f) -> (d -> e) -> d -> f"
"K K S K";"K K";"(\u v.u) (\u v.u)";"(\u v w.v)";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b"
"K (K S) K";"K S";"(\u v.u) (\u v w.u w (v w))";"(\u v w x.v x (w x))";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d"
"K K (S K)";"K";"(\u v.u)";"(\u v.u)";"a -> b -> a";"a -> b -> a";"a -> b -> a";"a -> b -> a"
"K (K S K)";"K S";"(\u v.u) (\u v w.u w (v w))";"(\u v w x.v x (w x))";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d"
"K (K (S K))";"K (K (S K))";"(\u v.u) ((\u v.u) ((\u v w.u w (v w)) (\u v.u)))";"(\u v w x.x)";"a -> b -> (c -> d) -> c -> c";"a -> b -> c -> d -> d";"a -> b -> (c -> d) -> c -> c";"a -> b -> (c -> d) -> c -> c"
"K K S S";"K S";"(\u v.u) (\u v w.u w (v w))";"(\u v w x.v x (w x))";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d"
"K (K S) S";"K S";"(\u v.u) (\u v w.u w (v w))";"(\u v w x.v x (w x))";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d"
"K K (S S)";"K";"(\u v.u)";"(\u v.u)";"a -> b -> a";"a -> b -> a";"a -> b -> a";"a -> b -> a"
"K (K S S)";"K S";"(\u v.u) (\u v w.u w (v w))";"(\u v w x.v x (w x))";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d"
"K (K (S S))";"K (K (S S))";"(\u v.u) ((\u v.u) ((\u v w.u w (v w)) (\u v w.u w (v w))))";"(\u v w x y.x y (w x y))";"a -> b -> ((c -> d -> e) -> c -> d) -> (c -> d -> e) -> c -> e";"a -> b -> ((c -> d -> e) -> c -> d) -> (c -> d -> e) -> c -> e";"a -> b -> ((c -> d -> e) -> c -> d) -> (c -> d -> e) -> c -> e";"a -> b -> ((c -> d -> e) -> c -> d) -> (c -> d -> e) -> c -> e"
"K S K K";"S K";"(\u v w.u w (v w)) (\u v.u)";"(\u v.v)";"(a -> b) -> a -> a";"a -> b -> b";"(a -> b) -> a -> a";"(a -> b) -> a -> a"
"K (S K) K";"S K";"(\u v w.u w (v w)) (\u v.u)";"(\u v.v)";"(a -> b) -> a -> a";"a -> b -> b";"(a -> b) -> a -> a";"(a -> b) -> a -> a"
"K S (K K)";"S";"(\u v w.u w (v w))";"(\u v w.u w (v w))";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c"
"K (S K K)";"K (S K K)";"(\u v.u) ((\u v w.u w (v w)) (\u v.u) (\u v.u))";"(\u v.v)";"a -> b -> b";"a -> b -> b";"a -> b -> b";"a -> b -> b"
"K (S (K K))";"K (S (K K))";"(\u v.u) ((\u v w.u w (v w)) ((\u v.u) (\u v.u)))";"(\u v w x.v w)";"a -> (b -> c) -> b -> d -> c";"a -> (b -> c) -> b -> d -> c";"a -> (b -> c) -> b -> d -> c";"a -> (b -> c) -> b -> d -> c"
"K S K S";"S S";"(\u v w.u w (v w)) (\u v w.u w (v w))";"(\u v w.v w (u v w))";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c"
"K (S K) S";"S K";"(\u v w.u w (v w)) (\u v.u)";"(\u v.v)";"(a -> b) -> a -> a";"a -> b -> b";"(a -> b) -> a -> a";"(a -> b) -> a -> a"
"K S (K S)";"S";"(\u v w.u w (v w))";"(\u v w.u w (v w))";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c"
"K (S K S)";"K (S K S)";"(\u v.u) ((\u v w.u w (v w)) (\u v.u) (\u v w.u w (v w)))";"(\u v.v)";"a -> (b -> c -> d) -> b -> c -> d";"a -> b -> b";"a -> (b -> c -> d) -> b -> c -> d";"a -> (b -> c -> d) -> b -> c -> d"
"K (S (K S))";"K (S (K S))";"(\u v.u) ((\u v w.u w (v w)) ((\u v.u) (\u v w.u w (v w))))";"(\u v w x y.v w y (x y))";"a -> (b -> c -> d -> e) -> b -> (c -> d) -> c -> e";"a -> (b -> c -> d -> e) -> b -> (c -> d) -> c -> e";"a -> (b -> c -> d -> e) -> b -> (c -> d) -> c -> e";"a -> (b -> c -> d -> e) -> b -> (c -> d) -> c -> e"
"K S S K";"S K";"(\u v w.u w (v w)) (\u v.u)";"(\u v.v)";"(a -> b) -> a -> a";"a -> b -> b";"(a -> b) -> a -> a";"(a -> b) -> a -> a"
"K (S S) K";"S S";"(\u v w.u w (v w)) (\u v w.u w (v w))";"(\u v w.v w (u v w))";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c"
"K S (S K)";"S";"(\u v w.u w (v w))";"(\u v w.u w (v w))";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c"
"K (S S K)";"K (S S K)";"(\u v.u) ((\u v w.u w (v w)) (\u v w.u w (v w)) (\u v.u))";"(\u v w.v w v)";"Nothing";"Nothing";"Nothing";"Nothing"
"K (S (S K))";"K (S (S K))";"(\u v.u) ((\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v.u)))";"(\u v w.v w)";"a -> ((b -> c) -> b) -> (b -> c) -> b";"a -> (b -> c) -> b -> c";"a -> ((b -> c) -> b) -> (b -> c) -> b";"a -> ((b -> c) -> b) -> (b -> c) -> b"
"K S S S";"S S";"(\u v w.u w (v w)) (\u v w.u w (v w))";"(\u v w.v w (u v w))";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c"
"K (S S) S";"S S";"(\u v w.u w (v w)) (\u v w.u w (v w))";"(\u v w.v w (u v w))";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c"
"K S (S S)";"S";"(\u v w.u w (v w))";"(\u v w.u w (v w))";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c"
"K (S S S)";"K (S S S)";"(\u v.u) ((\u v w.u w (v w)) (\u v w.u w (v w)) (\u v w.u w (v w)))";"(\u v w.v w (\x.v x (w x)))";"Nothing";"Nothing";"Nothing";"Nothing"
"K (S (S S))";"K (S (S S))";"(\u v.u)
((\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v w.u w (v w))))";"(\u v w x.v w x (w (v w) x))";"a
->
(((b -> c -> d) -> b -> c) -> b -> c -> d)
->
((b -> c -> d) -> b -> c) -> b -> d";"a
->
(((b -> c -> d) -> b -> c) -> b -> c -> d)
->
((b -> c -> d) -> b -> c) -> b -> d";"a
->
(((b -> c -> d) -> b -> c) -> b -> c -> d)
->
((b -> c -> d) -> b -> c) -> b -> d";"a
->
(((b -> c -> d) -> b -> c) -> b -> c -> d)
->
((b -> c -> d) -> b -> c) -> b -> d"
"S K K K";"K";"(\u v.u)";"(\u v.u)";"a -> b -> a";"a -> b -> a";"a -> b -> a";"a -> b -> a"
"S (K K) K";"S (K K) K";"(\u v w.u w (v w)) ((\u v.u) (\u v.u)) (\u v.u)";"(\u v w.u)";"a -> b -> c -> a";"a -> b -> c -> a";"a -> b -> c -> a";"a -> b -> c -> a"
"S K (K K)";"S K (K K)";"(\u v w.u w (v w)) (\u v.u) ((\u v.u) (\u v.u))";"(\u.u)";"a -> a";"a -> a";"a -> a";"a -> a"
"S (K K K)";"S K";"(\u v w.u w (v w)) (\u v.u)";"(\u v.v)";"(a -> b) -> a -> a";"a -> b -> b";"(a -> b) -> a -> a";"(a -> b) -> a -> a"
"S (K (K K))";"S (K (K K))";"(\u v w.u w (v w)) ((\u v.u) ((\u v.u) (\u v.u)))";"(\u v w x.w)";"(a -> b) -> a -> c -> d -> c";"a -> b -> c -> d -> c";"(a -> b) -> a -> c -> d -> c";"(a -> b) -> a -> c -> d -> c"
"S K K S";"S";"(\u v w.u w (v w))";"(\u v w.u w (v w))";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c"
"S (K K) S";"S (K K) S";"(\u v w.u w (v w)) ((\u v.u) (\u v.u)) (\u v w.u w (v w))";"(\u v w x.u x (w x))";"(a -> b -> c) -> d -> (a -> b) -> a -> c";"(a -> b -> c) -> d -> (a -> b) -> a -> c";"(a -> b -> c) -> d -> (a -> b) -> a -> c";"(a -> b -> c) -> d -> (a -> b) -> a -> c"
"S K (K S)";"S K (K S)";"(\u v w.u w (v w)) (\u v.u) ((\u v.u) (\u v w.u w (v w)))";"(\u.u)";"a -> a";"a -> a";"a -> a";"a -> a"
"S (K K S)";"S K";"(\u v w.u w (v w)) (\u v.u)";"(\u v.v)";"(a -> b) -> a -> a";"a -> b -> b";"(a -> b) -> a -> a";"(a -> b) -> a -> a"
"S (K (K S))";"S (K (K S))";"(\u v w.u w (v w)) ((\u v.u) ((\u v.u) (\u v w.u w (v w))))";"(\u v w x y.w y (x y))";"(a -> b) -> a -> (c -> d -> e) -> (c -> d) -> c -> e";"a -> b -> (c -> d -> e) -> (c -> d) -> c -> e";"(a -> b) -> a -> (c -> d -> e) -> (c -> d) -> c -> e";"(a -> b) -> a -> (c -> d -> e) -> (c -> d) -> c -> e"
"S K S K";"K";"(\u v.u)";"(\u v.u)";"a -> b -> a";"a -> b -> a";"a -> b -> a";"a -> b -> a"
"S (K S) K";"S (K S) K";"(\u v w.u w (v w)) ((\u v.u) (\u v w.u w (v w))) (\u v.u)";"(\u v w.u (v w))";"a -> (b -> c) -> b -> d";"(a -> b) -> (c -> a) -> c -> b";"a -> (b -> c) -> b -> d";"a -> (b -> c) -> b -> d"
"S K (S K)";"S K (S K)";"(\u v w.u w (v w)) (\u v.u) ((\u v w.u w (v w)) (\u v.u))";"(\u.u)";"(a -> b) -> a -> b";"a -> a";"(a -> b) -> a -> b";"(a -> b) -> a -> b"
"S (K S K)";"S S";"(\u v w.u w (v w)) (\u v w.u w (v w))";"(\u v w.v w (u v w))";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c"
"S (K (S K))";"S (K (S K))";"(\u v w.u w (v w)) ((\u v.u) ((\u v w.u w (v w)) (\u v.u)))";"(\u v w.w)";"(a -> b -> c) -> a -> b -> b";"a -> b -> c -> c";"(a -> b -> c) -> a -> b -> b";"(a -> b -> c) -> a -> b -> b"
"S K S S";"S";"(\u v w.u w (v w))";"(\u v w.u w (v w))";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c"
"S (K S) S";"S (K S) S";"(\u v w.u w (v w)) ((\u v.u) (\u v w.u w (v w))) (\u v w.u w (v w))";"(\u v w.u (v w) (w (v w)))";"(a -> b -> c) -> ((a -> b) -> a) -> (a -> b) -> c";"(a -> b -> c) -> ((a -> b) -> a) -> (a -> b) -> c";"(a -> b -> c) -> ((a -> b) -> a) -> (a -> b) -> c";"(a -> b -> c) -> ((a -> b) -> a) -> (a -> b) -> c"
"S K (S S)";"S K (S S)";"(\u v w.u w (v w)) (\u v.u) ((\u v w.u w (v w)) (\u v w.u w (v w)))";"(\u.u)";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> b";"a -> a";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> b";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> b"
"S (K S S)";"S S";"(\u v w.u w (v w)) (\u v w.u w (v w))";"(\u v w.v w (u v w))";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c"
"S (K (S S))";"S (K (S S))";"(\u v w.u w (v w))
((\u v.u) ((\u v w.u w (v w)) (\u v w.u w (v w))))";"(\u v w x.w x (u v w x))";"(a -> (b -> c -> d) -> b -> c) -> a -> (b -> c -> d) -> b -> d";"(a -> (b -> c -> d) -> b -> c) -> a -> (b -> c -> d) -> b -> d";"(a -> (b -> c -> d) -> b -> c) -> a -> (b -> c -> d) -> b -> d";"(a -> (b -> c -> d) -> b -> c) -> a -> (b -> c -> d) -> b -> d"
"S S K K";"S K (K K)";"(\u v w.u w (v w)) (\u v.u) ((\u v.u) (\u v.u))";"(\u.u)";"a -> a";"a -> a";"Nothing";"a -> a"
"S (S K) K";"S (S K) K";"(\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v.u)) (\u v.u)";"(\u v.u)";"Nothing";"a -> b -> a";"Nothing";"Nothing"
"S S (K K)";"S S (K K)";"(\u v w.u w (v w)) (\u v w.u w (v w)) ((\u v.u) (\u v.u))";"(\u v.u v (\w.v))";"(a -> (b -> a) -> c) -> a -> c";"(a -> (b -> a) -> c) -> a -> c";"(a -> (b -> a) -> c) -> a -> c";"(a -> (b -> a) -> c) -> a -> c"
"S (S K K)";"S (S K K)";"(\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v.u) (\u v.u))";"(\u v.v (u v))";"(a -> b) -> a -> c";"((a -> b) -> a) -> (a -> b) -> b";"(a -> b) -> a -> c";"(a -> b) -> a -> c"
"S (S (K K))";"S (S (K K))";"(\u v w.u w (v w)) ((\u v w.u w (v w)) ((\u v.u) (\u v.u)))";"(\u v w.v (u v))";"((a -> b) -> a) -> (a -> b) -> c -> b";"((a -> b) -> a) -> (a -> b) -> c -> b";"((a -> b) -> a) -> (a -> b) -> c -> b";"((a -> b) -> a) -> (a -> b) -> c -> b"
"S S K S";"S S (K S)";"(\u v w.u w (v w)) (\u v w.u w (v w)) ((\u v.u) (\u v w.u w (v w)))";"(\u v.u v (\w x.v x (w x)))";"((a -> b -> c) -> ((a -> b) -> a -> c) -> d) -> (a -> b -> c) -> d";"((a -> b -> c) -> ((a -> b) -> a -> c) -> d) -> (a -> b -> c) -> d";"Nothing";"((a -> b -> c) -> ((a -> b) -> a -> c) -> d) -> (a -> b -> c) -> d"
"S (S K) S";"S (S K) S";"(\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v.u)) (\u v w.u w (v w))";"(\u v w.u w (v w))";"Nothing";"(a -> b -> c) -> (a -> b) -> a -> c";"Nothing";"Nothing"
"S S (K S)";"S S (K S)";"(\u v w.u w (v w)) (\u v w.u w (v w)) ((\u v.u) (\u v w.u w (v w)))";"(\u v.u v (\w x.v x (w x)))";"((a -> b -> c) -> ((a -> b) -> a -> c) -> d) -> (a -> b -> c) -> d";"((a -> b -> c) -> ((a -> b) -> a -> c) -> d) -> (a -> b -> c) -> d";"((a -> b -> c) -> ((a -> b) -> a -> c) -> d) -> (a -> b -> c) -> d";"((a -> b -> c) -> ((a -> b) -> a -> c) -> d) -> (a -> b -> c) -> d"
"S (S K S)";"S (S K S)";"(\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v.u) (\u v w.u w (v w)))";"(\u v.v (u v))";"((a -> b -> c) -> a) -> (a -> b -> c) -> b -> c";"((a -> b) -> a) -> (a -> b) -> b";"((a -> b -> c) -> a) -> (a -> b -> c) -> b -> c";"((a -> b -> c) -> a) -> (a -> b -> c) -> b -> c"
"S (S (K S))";"S (S (K S))";"(\u v w.u w (v w))
((\u v w.u w (v w)) ((\u v.u) (\u v w.u w (v w))))";"(\u v w x.v (u v) x (w x))";"((a -> b -> c -> d) -> a)
->
(a -> b -> c -> d) -> (b -> c) -> b -> d";"((a -> b -> c -> d) -> a)
->
(a -> b -> c -> d) -> (b -> c) -> b -> d";"((a -> b -> c -> d) -> a)
->
(a -> b -> c -> d) -> (b -> c) -> b -> d";"((a -> b -> c -> d) -> a)
->
(a -> b -> c -> d) -> (b -> c) -> b -> d"
"S S S K";"S K (S K)";"(\u v w.u w (v w)) (\u v.u) ((\u v w.u w (v w)) (\u v.u))";"(\u.u)";"(a -> b) -> a -> b";"a -> a";"Nothing";"(a -> b) -> a -> b"
"S (S S) K";"S (S S) K";"(\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v w.u w (v w))) (\u v.u)";"(\u v.u (u (\w.u) v))";"Nothing";"Nothing";"Nothing";"Nothing"
"S S (S K)";"S S (S K)";"(\u v w.u w (v w)) (\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v.u))";"(\u v.u v v)";"(a -> a -> b) -> a -> b";"(a -> a -> b) -> a -> b";"(a -> a -> b) -> a -> b";"(a -> a -> b) -> a -> b"
"S (S S K)";"S (S S K)";"(\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v w.u w (v w)) (\u v.u))";"(\u v.v (u v) v)";"Nothing";"Nothing";"Nothing";"Nothing"
"S (S (S K))";"S (S (S K))";"(\u v w.u w (v w))
((\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v.u)))";"(\u v.v (u v))";"(((a -> b) -> a) -> a -> b) -> ((a -> b) -> a) -> a";"((a -> b) -> a) -> (a -> b) -> b";"(((a -> b) -> a) -> a -> b) -> ((a -> b) -> a) -> a";"(((a -> b) -> a) -> a -> b) -> ((a -> b) -> a) -> a"
"S S S S";"S S (S S)";"(\u v w.u w (v w)) (\u v w.u w (v w))
((\u v w.u w (v w)) (\u v w.u w (v w)))";"(\u v.u v (\w.v w (u v w)))";"Nothing";"Nothing";"Nothing";"Nothing"
"S (S S) S";"S (S S) S";"(\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v w.u w (v w)))
(\u v w.u w (v w))";"(\u v.u (u (\w x.u x (w x)) v) (v (u (\w x.u x (w x)) v)))";"Nothing";"Nothing";"Nothing";"Nothing"
